height,weight,label
197,62,thin
194,77,normal
177,65,normal
161,69,fat
191,40,thin
156,54,normal
180,60,normal
154,41,thin
164,66,normal
168,57,normal
160,66,fat
161,60,normal
158,68,fat
192,55,thin
170,80,fat
197,53,thin
158,70,fat
150,46,normal
178,49,thin
194,56,thin
177,67,normal
151,42,thin
167,44,thin
150,80,fat
175,60,normal
188,73,normal
161,50,normal
170,41,thin
172,63,normal
197,70,thin
195,40,thin
169,58,normal
173,43,thin
187,59,thin
155,75,fat
180,72,normal
158,77,fat
188,60,thin
183,40,thin
168,74,fat
184,78,normal
197,64,thin
163,67,fat
176,47,thin
183,48,thin
188,72,normal
183,42,thin
154,45,normal
189,62,thin
176,47,thin
178,60,normal
194,72,normal
186,70,normal
179,48,thin
173,45,thin
155,68,fat
162,73,fat
168,57,normal
198,78,normal
175,54,thin
161,79,fat
164,40,thin
190,57,thin
187,50,thin
171,54,thin
168,66,normal
168,60,normal
184,71,normal
164,74,fat
158,68,fat
170,45,thin
173,48,thin
158,75,fat
175,45,thin
167,57,normal
180,47,thin
188,67,normal
195,70,thin
192,60,thin
175,60,normal
167,67,normal
182,49,thin
186,40,thin
166,75,fat
173,54,thin
197,40,thin
198,62,thin
199,76,normal
151,43,normal
163,68,fat
166,67,normal
178,53,thin
155,59,normal
162,69,fat
187,74,normal
163,49,thin
184,60,thin
179,79,normal
157,44,thin
156,77,fat
154,70,fat
163,58,normal
155,71,fat
184,65,normal
188,75,normal
185,45,thin
190,68,normal
168,40,thin
192,67,thin
196,55,thin
157,52,normal
199,67,thin
184,56,thin
165,68,normal
173,40,thin
199,67,thin
189,41,thin
199,44,thin
194,71,normal
177,48,thin
169,48,thin
196,75,normal
152,41,thin
167,44,thin
152,60,fat
153,41,thin
151,57,normal
169,80,fat
160,54,normal
169,79,fat
194,56,thin
187,62,thin
189,53,thin
197,74,normal
176,75,normal
198,69,thin
179,66,normal
155,64,fat
157,52,normal
154,79,fat
190,54,thin
151,48,normal
164,48,thin
176,66,normal
185,72,normal
185,40,thin
190,63,thin
175,74,normal
197,58,thin
198,67,thin
186,54,thin
181,70,normal
168,67,normal
173,53,thin
198,54,thin
156,50,normal
198,59,thin
181,72,normal
171,68,normal
191,55,thin
152,47,normal
162,55,normal
189,40,thin
150,51,normal
175,52,thin
184,44,thin
186,74,normal
183,77,normal
165,68,normal
156,75,fat
157,68,fat
196,56,thin
164,64,normal
194,45,thin
197,43,thin
174,52,thin
153,67,fat
193,68,thin
160,73,fat
187,73,normal
197,51,thin
200,80,normal
164,68,fat
171,52,thin
181,64,normal
172,68,normal
178,64,normal
182,78,normal
189,70,normal
166,41,thin
175,60,normal
161,50,normal
153,76,fat
154,43,thin
189,71,normal
154,54,normal
173,66,normal
160,46,thin
185,58,thin
194,46,thin
173,71,normal
192,78,normal
160,45,thin
193,41,thin
178,62,normal
193,71,normal
155,68,fat
173,45,thin
177,48,thin
174,40,thin
150,43,normal
180,58,thin
198,60,thin
166,71,fat
157,76,fat
161,76,fat
172,65,normal
156,67,fat
159,53,normal
159,56,normal
185,71,normal
193,61,thin
151,54,normal
151,58,fat
192,45,thin
170,56,normal
178,56,thin
190,45,thin
185,75,normal
186,72,normal
187,57,thin
155,51,normal
184,76,normal
172,68,normal
177,66,normal
197,52,thin
165,70,fat
165,40,thin
160,65,fat
178,57,thin
186,41,thin
197,72,normal
179,66,normal
163,73,fat
195,73,normal
195,48,thin
171,52,thin
175,79,fat
154,45,normal
199,77,normal
156,57,normal
193,70,normal
190,51,thin
157,43,thin
189,43,thin
190,66,thin
160,69,fat
162,75,fat
159,74,fat
200,67,thin
163,62,normal
156,45,thin
158,45,thin
152,48,normal
186,44,thin
193,44,thin
199,60,thin
200,42,thin
184,65,normal
158,44,thin
170,44,thin
170,41,thin
157,43,thin
156,57,normal
164,63,normal
187,73,normal
199,67,thin
197,63,thin
178,75,normal
162,52,normal
195,64,thin
194,53,thin
181,63,normal
193,76,normal
188,54,thin
167,54,normal
190,64,thin
175,78,fat
160,51,normal
178,73,normal
172,70,normal
179,61,normal
187,75,normal
194,55,thin
173,59,normal
177,43,thin
153,63,fat
158,50,normal
198,72,thin
184,49,thin
197,73,normal
153,57,normal
167,41,thin
178,43,thin
165,57,normal
179,47,thin
151,50,normal
153,58,normal
181,80,normal
178,80,fat
187,52,thin
186,80,normal
193,42,thin
170,40,thin
159,52,normal
173,57,normal
154,41,thin
182,59,thin
183,69,normal
169,63,normal
167,49,thin
189,77,normal
164,73,fat
193,46,thin
180,40,thin
170,46,thin
161,48,normal
176,80,fat
181,60,thin
150,62,fat
177,50,thin
174,51,thin
190,66,thin
191,41,thin
176,80,fat
163,59,normal
162,49,normal
190,78,normal
164,59,normal
152,48,normal
187,43,thin
184,47,thin
154,72,fat
156,57,normal
182,46,thin
195,41,thin
151,58,fat
160,79,fat
187,78,normal
153,69,fat
158,50,normal
190,63,thin
199,77,normal
187,60,thin
155,60,normal
183,75,normal
171,47,thin
165,60,normal
184,50,thin
169,56,normal
174,45,thin
165,71,fat
183,64,normal
157,59,normal
155,53,normal
155,78,fat
159,55,normal
176,76,normal
156,44,thin
196,46,thin
191,47,thin
173,51,thin
174,80,fat
187,67,normal
192,67,thin
191,43,thin
192,56,thin
185,47,thin
173,62,normal
167,80,fat
161,50,normal
151,57,normal
159,67,fat
171,56,normal
184,68,normal
172,53,thin
199,45,thin
162,60,normal
185,49,thin
174,60,normal
179,76,normal
181,57,thin
177,56,thin
177,64,normal
189,80,normal
178,59,normal
187,44,thin
155,62,fat
189,46,thin
165,59,normal
192,78,normal
160,75,fat
185,72,normal
170,46,thin
172,53,thin
193,62,thin
196,62,thin
196,67,thin
191,45,thin
166,65,normal
172,68,normal
187,63,thin
198,66,thin
160,64,normal
173,71,normal
196,59,thin
181,42,thin
151,61,fat
157,66,fat
173,52,thin
151,63,fat
189,43,thin
200,69,thin
162,77,fat
179,51,thin
173,79,fat
150,68,fat
180,71,normal
196,80,normal
155,78,fat
169,73,fat
172,43,thin
169,52,thin
172,77,fat
151,77,fat
176,48,thin
192,72,normal
184,78,normal
172,79,fat
173,65,normal
171,59,normal
168,74,fat
184,50,thin
159,50,normal
184,58,thin
162,67,fat
187,58,thin
193,70,normal
184,77,normal
166,60,normal
171,67,normal
176,42,thin
189,54,thin
154,54,normal
154,71,fat
150,49,normal
157,69,fat
199,41,thin
165,56,normal
177,41,thin
150,48,normal
196,62,thin
199,47,thin
195,72,normal
194,55,thin
164,75,fat
157,47,normal
150,46,normal
163,58,normal
161,52,normal
184,51,thin
189,66,thin
193,64,thin
156,74,fat
181,40,thin
183,60,thin
188,65,thin
169,68,normal
174,45,thin
175,74,normal
186,66,normal
162,66,fat
183,80,normal
195,43,thin
192,57,thin
179,58,thin
185,70,normal
182,63,normal
193,45,thin
153,44,normal
188,48,thin
162,73,fat
169,69,normal
180,49,thin
193,57,thin
176,63,normal
167,60,normal
184,66,normal
200,62,thin
188,57,thin
162,63,normal
174,54,thin
183,66,normal
170,76,fat
152,79,fat
160,40,thin
159,56,normal
177,57,thin
154,77,fat
162,60,normal
153,59,fat
191,52,thin
200,53,thin
154,53,normal
166,58,normal
196,77,normal
182,73,normal
162,50,normal
200,72,thin
199,46,thin
162,76,fat
193,62,thin
200,46,thin
170,64,normal
183,75,normal
184,62,thin
185,73,normal
157,61,normal
155,48,normal
197,50,thin
174,66,normal
150,78,fat
155,55,normal
181,67,normal
178,48,thin
178,49,thin
177,74,normal
192,56,thin
190,73,normal
161,51,normal
151,79,fat
164,76,fat
172,42,thin
186,75,normal
163,45,thin
164,74,fat
151,63,fat
159,55,normal
162,53,normal
165,71,fat
192,52,thin
197,45,thin
199,43,thin
162,80,fat
172,66,normal
191,45,thin
163,48,thin
162,47,thin
155,66,fat
151,77,fat
158,76,fat
172,79,fat
186,67,normal
187,79,normal
188,43,thin
165,41,thin
170,43,thin
182,56,thin
197,51,thin
183,80,normal
161,72,fat
153,66,fat
153,59,fat
160,40,thin
169,50,thin
192,45,thin
180,47,thin
190,62,thin
180,66,normal
194,55,thin
173,61,normal
198,43,thin
179,55,thin
152,73,fat
184,72,normal
168,80,fat
196,40,thin
188,45,thin
181,63,normal
150,73,fat
197,69,thin
165,51,normal
159,59,normal
191,40,thin
197,61,thin
196,55,thin
199,48,thin
161,48,normal
169,75,fat
151,44,normal
158,58,normal
161,43,thin
163,41,thin
185,52,thin
176,42,thin
165,67,normal
156,68,fat
154,66,fat
157,67,fat
172,79,fat
170,55,normal
165,41,thin
185,43,thin
150,53,normal
195,78,normal
170,53,thin
168,71,fat
158,44,thin
183,54,thin
164,61,normal
196,57,thin
157,71,fat
190,63,thin
192,75,normal
178,50,thin
172,64,normal
165,52,normal
180,40,thin
186,49,thin
189,79,normal
168,69,normal
180,59,thin
187,69,normal
192,75,normal
172,53,thin
161,74,fat
168,70,normal
176,80,fat
157,77,fat
159,47,normal
174,64,normal
176,56,thin
164,72,fat
167,68,normal
154,74,fat
176,61,normal
197,54,thin
195,40,thin
195,56,thin
194,74,normal
166,71,fat
174,63,normal
188,66,normal
189,70,normal
193,48,thin
153,75,fat
188,43,thin
189,43,thin
181,63,normal
155,62,fat
165,68,normal
185,66,normal
172,78,fat
190,48,thin
151,70,fat
195,45,thin
197,55,thin
172,77,fat
166,80,fat
174,74,normal
185,44,thin
179,76,normal
160,77,fat
195,73,normal
192,71,normal
188,52,thin
171,51,thin
165,71,fat
197,41,thin
156,64,fat
173,53,thin
195,42,thin
154,54,normal
158,73,fat
186,75,normal
196,54,thin
187,75,normal
182,69,normal
172,78,fat
155,44,thin
171,76,fat
156,42,thin
175,72,normal
176,60,normal
183,56,thin
176,48,thin
191,64,thin
176,43,thin
162,42,thin
170,45,thin
188,69,normal
191,47,thin
152,53,normal
190,78,normal
187,53,thin
167,42,thin
150,42,normal
186,54,thin
177,76,normal
199,55,thin
158,41,thin
183,71,normal
159,71,fat
187,75,normal
162,78,fat
157,50,normal
188,61,thin
200,43,thin
176,74,normal
163,79,fat
161,78,fat
176,52,thin
179,71,normal
186,52,thin
154,71,fat
190,69,normal
175,78,fat
197,79,normal
192,58,thin
171,79,fat
153,57,normal
152,77,fat
175,52,thin
165,48,thin
198,44,thin
190,63,thin
160,60,normal
177,67,normal
159,76,fat
188,49,thin
180,40,thin
180,42,thin
151,40,thin
164,71,fat
163,69,fat
180,53,thin
165,57,normal
192,57,thin
153,67,fat
181,70,normal
195,76,normal
192,58,thin
177,75,normal
192,59,thin
180,63,normal
161,58,normal
192,74,normal
158,54,normal
168,74,fat
159,58,normal
191,56,thin
177,47,thin
170,45,thin
163,60,normal
178,68,normal
156,65,fat
191,59,thin
164,66,normal
165,43,thin
193,41,thin
179,40,thin
167,40,thin
178,49,thin
158,44,thin
196,49,thin
166,69,fat
189,51,thin
187,51,thin
181,75,normal
195,66,thin
195,67,thin
152,76,fat
168,57,normal
196,76,normal
150,54,normal
170,75,fat
183,56,thin
152,54,normal
189,62,thin
166,58,normal
151,46,normal
196,47,thin
157,60,normal
186,56,thin
198,40,thin
151,70,fat
187,51,thin
166,46,thin
197,50,thin
165,60,normal
152,42,thin
157,40,thin
184,56,thin
151,44,normal
158,77,fat
174,59,normal
184,75,normal
188,75,normal
153,65,fat
171,40,thin
171,43,thin
167,77,fat
198,79,normal
173,63,normal
165,58,normal
166,42,thin
162,60,normal
180,71,normal
164,61,normal
189,68,normal
186,80,normal
173,63,normal
158,52,normal
151,68,fat
193,49,thin
200,44,thin
167,55,normal
174,76,fat
160,56,normal
152,79,fat
175,76,normal
189,68,normal
198,53,thin
185,67,normal
191,51,thin
181,75,normal
167,60,normal
171,79,fat
175,78,fat
150,66,fat
197,61,thin
180,69,normal
157,68,fat
155,79,fat
155,62,fat
191,43,thin
154,71,fat
158,58,normal
166,67,normal
165,72,fat
199,69,thin
164,71,fat
160,77,fat
182,46,thin
169,71,normal
152,75,fat
189,69,normal
158,79,fat
178,56,thin
169,44,thin
179,74,normal
194,66,thin
161,54,normal
177,43,thin
184,67,normal
184,65,normal
151,41,thin
160,73,fat
161,63,normal
197,44,thin
185,50,thin
150,71,fat
167,63,normal
187,42,thin
185,69,normal
183,57,thin
193,49,thin
160,51,normal
200,64,thin
165,51,normal
192,76,normal
175,66,normal
196,61,thin
155,51,normal
166,46,thin
164,71,fat
174,75,normal
157,51,normal
186,52,thin
156,42,thin
175,43,thin
196,55,thin
176,70,normal
169,69,normal
193,76,normal
173,45,thin
161,76,fat
197,58,thin
157,59,normal
150,75,fat
200,59,thin
188,46,thin
171,74,fat
161,79,fat
181,71,normal
161,54,normal
178,66,normal
168,46,thin
169,77,fat
153,72,fat
179,43,thin
176,65,normal
161,67,fat
163,59,normal
181,57,thin
175,42,thin
167,63,normal
178,68,normal
157,41,thin
159,55,normal
173,75,fat
164,72,fat
161,53,normal
198,74,normal
161,68,fat
176,77,normal
175,44,thin
158,72,fat
175,72,normal
176,75,normal
160,58,normal
151,46,normal
198,48,thin
157,53,normal
168,44,thin
172,61,normal
172,42,thin
186,68,normal
198,59,thin
169,76,fat
188,66,normal
154,74,fat
177,56,thin
157,76,fat
196,80,normal
159,58,normal
162,51,normal
193,77,normal
178,68,normal
164,42,thin
198,64,thin
185,49,thin
166,80,fat
185,70,normal
188,49,thin
185,43,thin
166,73,fat
163,43,thin
193,59,thin
192,72,normal
151,43,normal
185,61,thin
189,40,thin
179,51,thin
162,47,thin
183,73,normal
192,72,normal
165,71,fat
175,62,normal
171,62,normal
186,74,normal
162,41,thin
179,53,thin
179,42,thin
172,63,normal
153,41,thin
176,63,normal
164,41,thin
186,53,thin
175,66,normal
157,67,fat
188,62,thin
195,52,thin
178,59,normal
160,65,fat
196,49,thin
170,66,normal
191,66,thin
183,45,thin
153,58,normal
154,80,fat
173,46,thin
173,52,thin
186,79,normal
171,74,fat
150,51,normal
174,52,thin
164,77,fat
197,51,thin
166,61,normal
200,62,thin
159,57,normal
189,65,thin
184,40,thin
189,51,thin
183,65,normal
155,72,fat
178,78,normal
165,68,normal
155,66,fat
193,56,thin
194,68,thin
196,42,thin
154,64,fat
176,52,thin
194,57,thin
171,41,thin
168,52,thin
177,47,thin
182,66,normal
150,58,fat
178,75,normal
195,59,thin
185,65,normal
189,69,normal
157,44,thin
158,64,fat
192,71,normal
153,61,fat
186,58,thin
157,71,fat
164,40,thin
187,79,normal
198,50,thin
191,56,thin
179,77,normal
165,77,fat
168,71,fat
192,72,normal
193,72,normal
185,43,thin
170,53,thin
168,49,thin
191,60,thin
167,49,thin
153,53,normal
173,70,normal
151,74,fat
177,56,thin
151,42,thin
176,70,normal
162,61,normal
171,80,fat
185,53,thin
159,76,fat
192,70,normal
196,80,normal
152,46,normal
194,59,thin
151,60,fat
150,64,fat
176,57,thin
168,48,thin
164,77,fat
179,63,normal
182,77,normal
171,59,normal
198,50,thin
194,62,thin
167,58,normal
163,73,fat
194,73,normal
199,74,normal
171,76,fat
179,57,thin
159,43,thin
172,57,normal
157,42,thin
195,40,thin
179,60,normal
166,72,fat
164,66,normal
177,66,normal
191,44,thin
150,55,normal
161,53,normal
193,79,normal
188,46,thin
173,55,thin
199,53,thin
194,73,normal
182,75,normal
179,75,normal
172,49,thin
163,59,normal
161,66,fat
168,47,thin
165,65,normal
153,42,thin
175,64,normal
184,42,thin
155,72,fat
150,53,normal
165,66,normal
157,58,normal
167,64,normal
159,65,fat
169,53,normal
150,48,normal
164,74,fat
178,69,normal
185,59,thin
180,58,thin
193,73,normal
190,47,thin
182,45,thin
172,56,normal
171,51,thin
197,73,normal
188,53,thin
151,41,thin
194,74,normal
187,58,thin
192,70,normal
186,43,thin
193,54,thin
198,51,thin
193,44,thin
168,74,fat
162,50,normal
194,79,normal
179,76,normal
181,52,thin
154,55,normal
196,75,normal
188,61,thin
186,74,normal
188,79,normal
189,74,normal
150,64,fat
187,62,thin
185,64,normal
197,66,thin
194,76,normal
167,79,fat
170,72,normal
155,56,normal
197,55,thin
183,42,thin
157,50,normal
198,75,normal
184,46,thin
180,52,thin
181,51,thin
194,53,thin
159,52,normal
161,77,fat
170,79,fat
168,47,thin
166,57,normal
183,70,normal
159,74,fat
166,76,fat
172,80,fat
198,46,thin
191,45,thin
154,44,normal
150,63,fat
174,54,thin
173,53,thin
150,40,thin
184,50,thin
171,60,normal
171,67,normal
165,55,normal
182,54,thin
167,77,fat
192,63,thin
191,53,thin
185,74,normal
181,42,thin
181,58,thin
195,44,thin
192,78,normal
160,54,normal
189,74,normal
151,61,fat
156,41,thin
180,68,normal
163,61,normal
183,52,thin
198,61,thin
195,79,normal
181,52,thin
192,77,normal
188,57,thin
193,41,thin
196,65,thin
182,67,normal
195,41,thin
191,51,thin
167,47,thin
159,64,fat
162,72,fat
173,74,normal
184,66,normal
166,72,fat
161,66,fat
162,45,thin
169,51,thin
167,75,fat
180,59,thin
186,53,thin
187,80,normal
183,63,normal
173,42,thin
168,60,normal
158,73,fat
167,44,thin
151,44,normal
192,73,normal
178,47,thin
187,45,thin
191,68,normal
154,66,fat
163,63,normal
192,49,thin
174,72,normal
197,56,thin
153,76,fat
166,60,normal
194,40,thin
195,55,thin
183,54,thin
178,67,normal
152,78,fat
158,47,normal
159,80,fat
193,72,normal
167,55,normal
160,48,normal
194,79,normal
158,63,fat
155,66,fat
161,76,fat
194,79,normal
179,56,thin
152,51,normal
192,55,thin
166,80,fat
151,74,fat
188,64,thin
166,72,fat
158,80,fat
177,75,normal
192,48,thin
187,74,normal
152,44,normal
156,76,fat
163,51,normal
160,56,normal
154,49,normal
197,70,thin
185,48,thin
168,67,normal
173,40,thin
154,78,fat
190,73,normal
196,43,thin
173,49,thin
197,57,thin
182,50,thin
185,66,normal
160,75,fat
172,72,normal
194,75,normal
155,70,fat
183,58,thin
174,49,thin
180,63,normal
154,58,normal
178,55,thin
167,70,fat
177,48,thin
157,64,fat
157,55,normal
188,71,normal
195,78,normal
184,60,thin
155,78,fat
176,41,thin
189,77,normal
180,73,normal
151,42,thin
172,53,thin
165,60,normal
154,55,normal
177,54,thin
165,48,thin
172,49,thin
188,56,thin
171,43,thin
165,72,fat
152,53,normal
187,71,normal
198,79,normal
152,68,fat
154,60,fat
168,80,fat
171,59,normal
193,66,thin
169,55,normal
189,45,thin
164,66,normal
176,46,thin
192,79,normal
169,48,thin
188,61,thin
173,69,normal
192,50,thin
169,40,thin
177,68,normal
182,60,thin
177,80,fat
162,58,normal
152,74,fat
174,50,thin
154,57,normal
153,66,fat
176,63,normal
174,71,normal
174,53,thin
182,55,thin
195,65,thin
169,78,fat
185,52,thin
181,76,normal
181,76,normal
187,66,normal
190,45,thin
158,67,fat
194,72,normal
153,61,fat
174,66,normal
194,66,thin
196,70,thin
184,45,thin
154,63,fat
168,60,normal
160,47,thin
166,75,fat
170,46,thin
173,43,thin
164,43,thin
157,64,fat
168,54,normal
173,46,thin
190,63,thin
171,76,fat
182,60,thin
159,80,fat
151,51,normal
184,68,normal
179,76,normal
191,55,thin
194,65,thin
176,73,normal
195,70,thin
185,72,normal
188,58,thin
165,64,normal
179,62,normal
166,73,fat
196,48,thin
172,67,normal
198,57,thin
200,69,thin
196,59,thin
156,61,fat
199,61,thin
151,51,normal
168,66,normal
180,62,normal
160,74,fat
197,66,thin
168,80,fat
181,45,thin
182,59,thin
187,49,thin
159,41,thin
167,75,fat
177,51,thin
180,69,normal
178,55,thin
173,57,normal
187,79,normal
196,76,normal
173,58,normal
180,48,thin
165,68,normal
189,69,normal
168,66,normal
167,40,thin
184,45,thin
196,76,normal
165,67,normal
183,63,normal
168,68,normal
175,66,normal
150,52,normal
152,43,normal
176,70,normal
198,50,thin
178,65,normal
192,60,thin
183,69,normal
171,63,normal
165,56,normal
168,58,normal
169,48,thin
197,80,normal
194,58,thin
196,71,thin
150,47,normal
178,45,thin
185,61,thin
160,78,fat
159,72,fat
179,43,thin
197,51,thin
172,42,thin
186,47,thin
151,52,normal
197,62,thin
167,48,thin
180,70,normal
170,67,normal
183,53,thin
150,63,fat
178,63,normal
172,59,normal
165,77,fat
166,74,fat
191,48,thin
200,48,thin
170,63,normal
169,46,thin
175,40,thin
194,77,normal
165,51,normal
156,47,normal
189,42,thin
165,43,thin
177,76,normal
187,48,thin
194,65,thin
169,51,thin
171,46,thin
169,77,fat
152,67,fat
163,59,normal
166,44,thin
173,48,thin
184,43,thin
187,45,thin
199,77,normal
177,76,normal
176,46,thin
152,56,normal
160,51,normal
152,70,fat
185,66,normal
199,64,thin
183,45,thin
182,75,normal
154,62,fat
157,68,fat
167,75,fat
186,59,thin
169,49,thin
171,78,fat
152,49,normal
151,67,fat
170,61,normal
168,47,thin
164,69,fat
195,75,normal
184,45,thin
153,76,fat
199,41,thin
172,53,thin
193,65,thin
168,79,fat
159,45,thin
162,75,fat
159,67,fat
171,53,thin
180,76,normal
189,41,thin
187,55,thin
197,58,thin
173,43,thin
170,70,normal
193,68,thin
185,53,thin
168,49,thin
157,50,normal
159,80,fat
160,71,fat
186,78,normal
166,63,normal
196,44,thin
162,52,normal
171,76,fat
198,44,thin
190,63,thin
169,69,normal
185,42,thin
164,53,normal
197,61,thin
169,42,thin
155,67,fat
186,79,normal
182,62,normal
195,64,thin
153,48,normal
192,46,thin
197,59,thin
158,80,fat
177,69,normal
170,63,normal
156,70,fat
179,55,thin
188,65,thin
186,67,normal
192,40,thin
172,50,thin
151,58,fat
179,73,normal
184,52,thin
186,69,normal
168,60,normal
161,46,thin
176,66,normal
196,41,thin
200,47,thin
193,59,thin
174,60,normal
154,77,fat
171,45,thin
195,77,normal
175,48,thin
184,71,normal
184,58,thin
150,74,fat
195,65,thin
184,53,thin
151,53,normal
164,43,thin
160,52,normal
200,51,thin
159,70,fat
172,79,fat
159,57,normal
186,43,thin
193,49,thin
170,47,thin
174,53,thin
176,49,thin
172,77,fat
178,42,thin
188,54,thin
163,66,normal
161,79,fat
160,75,fat
198,63,thin
169,75,fat
166,55,normal
166,79,fat
193,50,thin
188,56,thin
161,49,normal
198,70,thin
183,40,thin
151,72,fat
197,70,thin
188,49,thin
188,45,thin
164,42,thin
191,53,thin
185,43,thin
157,63,fat
179,78,normal
177,48,thin
196,63,thin
180,64,normal
161,63,normal
160,40,thin
198,52,thin
185,73,normal
155,77,fat
171,52,thin
178,76,normal
164,47,thin
157,75,fat
186,71,normal
163,51,normal
162,40,thin
171,76,fat
166,48,thin
168,42,thin
173,65,normal
180,60,normal
157,70,fat
167,67,normal
193,61,thin
195,53,thin
181,54,thin
189,71,normal
183,54,thin
186,63,thin
156,76,fat
186,71,normal
193,62,thin
184,75,normal
179,47,thin
175,41,thin
162,56,normal
172,73,normal
161,67,fat
161,51,normal
166,44,thin
194,77,normal
150,54,normal
150,48,normal
169,55,normal
190,61,thin
173,78,fat
186,42,thin
164,71,fat
193,73,normal
188,68,normal
160,76,fat
190,74,normal
177,68,normal
153,68,fat
173,69,normal
193,66,thin
153,63,fat
176,46,thin
155,57,normal
182,69,normal
166,69,fat
172,44,thin
190,77,normal
177,66,normal
158,43,thin
195,64,thin
163,62,normal
199,49,thin
185,79,normal
176,40,thin
194,80,normal
200,70,thin
175,56,thin
181,79,normal
150,46,normal
176,40,thin
190,79,normal
163,63,normal
169,40,thin
185,70,normal
157,71,fat
153,71,fat
200,49,thin
151,64,fat
189,74,normal
160,50,normal
192,71,normal
174,50,thin
171,42,thin
187,45,thin
151,64,fat
200,54,thin
151,66,fat
191,75,normal
175,74,normal
186,49,thin
191,48,thin
164,56,normal
196,63,thin
192,75,normal
200,51,thin
176,40,thin
165,56,normal
174,78,fat
174,59,normal
155,64,fat
169,65,normal
196,56,thin
186,76,normal
162,60,normal
176,72,normal
159,45,thin
152,56,normal
155,45,normal
177,40,thin
172,64,normal
194,62,thin
161,64,normal
169,80,fat
184,59,thin
150,60,fat
197,51,thin
185,43,thin
187,40,thin
197,64,thin
171,44,thin
182,53,thin
191,48,thin
160,60,normal
191,78,normal
183,45,thin
164,42,thin
196,79,normal
155,74,fat
164,66,normal
190,74,normal
191,46,thin
174,46,thin
170,42,thin
153,66,fat
165,75,fat
164,68,fat
197,64,thin
165,78,fat
186,74,normal
200,73,thin
161,42,thin
159,52,normal
191,59,thin
166,55,normal
151,51,normal
197,56,thin
178,66,normal
188,55,thin
184,67,normal
152,52,normal
163,56,normal
176,42,thin
194,74,normal
182,64,normal
194,74,normal
158,41,thin
186,57,thin
158,77,fat
193,51,thin
167,53,normal
175,65,normal
160,56,normal
152,75,fat
179,72,normal
188,73,normal
184,70,normal
158,63,fat
156,51,normal
161,62,normal
151,71,fat
158,65,fat
165,64,normal
166,75,fat
182,58,thin
190,70,normal
178,59,normal
155,40,thin
158,48,normal
155,75,fat
178,51,thin
170,70,normal
198,65,thin
150,54,normal
178,55,thin
178,56,thin
197,58,thin
158,53,normal
192,43,thin
191,48,thin
175,76,normal
166,66,normal
181,75,normal
169,71,normal
182,77,normal
169,51,thin
196,78,normal
173,52,thin
172,66,normal
189,76,normal
179,47,thin
173,69,normal
185,59,thin
161,72,fat
198,70,thin
152,49,normal
189,65,thin
193,48,thin
169,58,normal
152,79,fat
191,72,normal
186,71,normal
190,59,thin
167,56,normal
167,58,normal
181,64,normal
186,46,thin
168,67,normal
193,50,thin
157,64,fat
160,46,thin
154,75,fat
174,51,thin
179,68,normal
161,70,fat
198,40,thin
158,60,normal
193,71,normal
166,75,fat
192,73,normal
188,41,thin
178,62,normal
181,68,normal
159,42,thin
161,49,normal
175,46,thin
170,55,normal
175,67,normal
150,44,normal
166,74,fat
